ÖZEL EMİNE ÖRNEK KOLEJİ;1
ÖZEL ERCİYES ANADOLU LİSESİ;1
ÖZEL ERYAMAN SINAV KOLEJİ ANADOLU LİSESİ;1
ÖZEL GAZİANTEP İŞLEM ANADOLU LİSESİ;1
ÖZEL GELİŞİM KOLEJİ;1
ÖZEL İSTANBUL MODERN İLİMLER ANADOLU LİSESİ;1
ÖZEL İSTEK ANTALYA KONYAALTI ANADOLU LİSESİ;2
ÖZEL JALE TEZER ANADOLU LİSESİ;3
ÖZEL KÜTAHYA GİRNE KOLEJİ ANADOLU LİSESİ;1
ÖZEL MALTEPE FİNAL ANADOLU LİSESİ;1
ÖZEL MESAFE MESLEKİ VE TEKNİK ANADOLU LİSESİ;1
ÖZEL MUĞLA BAHÇEŞEHİR FEN LİSESİ;1
ÖZEL NAMIK ALTAŞ KOLEJİ ANADOLU LİSESİ;2
ÖZEL OĞUZHAN ÖZKAYA FEN LİSESİ;2
ÖZEL ORTADOĞULULAR ANADOLU LİSESİ;1
ÖZEL PARK FİNAL FEN VE TEKNOLOJİ LİSESİ;1
ÖZEL RASYONEL KOLEJİ ANADOLU LİSESİ;1
ÖZEL SAINT JOSEPH FRANSIZ LİSESİ;4
AYSEL-SELAHATTİN ERKASAP SOSYAL BİLİMLER LİSESİ;2
ÖZEL ŞANLIURFA SARAÇ İLGİ OKULLARI ANADOLU LİSESİ;1
ÖZEL ŞENLİKKÖY BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ;1
ÖZEL UYGAR ANADOLU LİSESİ;1
ÖZEL ÜMİTKÖY FİNAL AKADEMİ ANADOLU LİSESİ;3
BAŞKENT ÜNİVERSİTESİ ÖZEL AYŞEABLA ANADOLU LİSESİ;3
ÖZEL ÜMİTKÖY FİNAL AKADEMİ FEN LİSESİ;1
ÖZEL VARLIK ANADOLU LİSESİ;2
ÖZEL YAŞAM TASARIM ANADOLU LİSESİ;1
ÖZEL YENİ ADANA ORTADOĞU ANADOLU LİSESİ;4
SAMİHA AYVERDİ ANADOLU LİSESİ;1
TED AFYON KOLEJİ ÖZEL ANADOLU LİSESİ;3
TED ELAZIĞ ÖZEL KOLEJİ ANADOLU LİSESİ;1
TED SİVAS KOLEJİ ÖZEL ANADOLU LİSESİ;1
ÖZEL BATIKENT BİRİKİM ANADOLU LİSESİ;1
ÖZEL BORNOVA SINAV KOLEJİ ANADOLU LİSESİ;1
ÖZEL BÜYÜK KOLEJ;6
ÖZEL CENAP DÜZGÜN ANADOLU LİSESİ;1
ÖZEL ÇATI KOLEJİ ANADOLU LİSESİ;1
ÖZEL FLORYA FİNAL ANADOLU LİSESİ;1
ÖZEL JALE TEZER FEN LİSESİ;7
ÖZEL KEÇİÖREN OKYANUS ANADOLU LİSESİ;2
ÖZEL MATBİLİM KOLEJİ ANADOLU LİSESİ;1
ÖZEL MERSİN BAHÇEŞEHİR ANADOLU LİSESİ;2
ÖZEL OKUYAN DOĞRULAYAN TARTIŞAN UZMANLAR ANADOLU LİSESİ;1
ÖZEL SALİHLİ NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ;1
BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT KOLEJİ;3
ÖZEL YÜKSELEN KOLEJİ ANADOLU LİSESİ;1
TED ISPARTA KOLEJİ ÖZEL LİSESİ;2
İSTANBUL ATATÜRK ANADOLU LİSESİ;1
ÖZEL ALFA GRUP ANADOLU LİSESİ;1
GÖZTEPE İHSAN KURŞUNOĞLU ANADOLU LİSESİ;1
MURADİYE ALPASLAN FEN LİSESİ;1
ÖZEL ÇAĞDAŞ ÖNCÜ ANADOLU LİSESİ;5
ÖZEL YÜKSELEN ANADOLU LİSESİ;3
REKABET KURUMU ANADOLU LİSESİ;1
SOMA BORSA İSTANBUL FEN LİSESİ;1
YUNUS EMRE ANADOLU LİSESİ;1
BUCA MEHMET AKİF ERSOY SOSYAL BİLİMLER LİSESİ;2
